5 04h21'01'' PERRIER NICOLAS SEM [38] goodpeoplerun / ale  Le Trophée de la Meije - 43 km 15/6/2013
2 32'33'' PERRIER NICOLAS SEM    La Verticale du Nan 8/6/2013
437 02h42'52'' PERRIER NICOLAS SEM    Le Castor Fou - 23 km 8/6/2013
27 35'43'' PERRIER NICOLAS SEM Goodpeoplerun / Ale  10 km d'Echirolles 2/6/2013
23 02h28'26'' PERRIER NICOLAS SEM    Artzainen Lasterkaldia 2/6/2013
1 54'48'' PERRIER NICOLAS SEM Chamrousse  Trail de l'Oisans - 10 km 26/5/2013
782 03h42'13'' PERRIER NICOLAS SEM VERSAILLES  Les Gendarmes et les Voleurs de Temps - 32 km 19/5/2013
14 05h50'15'' PERRIER NICOLAS SEM    Trail des 3 Rocs - 51 km 9/5/2013
2 48'09'' PERRIER NICOLAS SEM GOODPEOPLERUN.COM  La Ronde des Marmottes 8/5/2013
15 01h40'35'' PERRIER NICOLAS SEM    Les Délices d'Ursuia 27/4/2013
64 02h53'06'' PERRIER NICOLAS SEM    Trail des Lavoirs - 29 km 21/4/2013
13 02h12'13'' PERRIER NICOLAS SEM    Trail des Piqueurs - 23 km 24/3/2013
59 02h11'26'' PERRIER NICOLAS SEM [64]  Senpereko Trail 10/3/2013
16 01h13'39'' PERRIER NICOLAS SEM    RoyaTTrail 24/2/2013
16 02h13'23'' PERRIER NICOLAS SEM    Trail du Maquis 10/2/2013
39 02h22'48'' PERRIER NICOLAS V1M TOBESPORT  Trail de Pignan - 25 km - La Peyssine 3/2/2013
241 04h23'38'' PERRIER NICOLAS SEM [78]  Trail Hivernal du Sancy - 30 km 20/1/2013
69 53'34'' PERRIER NICOLAS V1M MONTPELLIER  La Montée de la Pène 9/12/2012
3243 11h42'47'' PERRIER NICOLAS SEM VERSAILLES  Saintélyon 2/12/2012
18 03h46'30'' PERRIER NICOLAS SEM TOULOUSE  Saintexpress 2/12/2012
121 01h25'46'' PERRIER NICOLAS V1M To Be Sport [34]  20 km de Montpellier 25/11/2012
4 01h57'55'' PERRIER NICOLAS SEM    La Sange Run - 22 km 25/11/2012
77 34'19'' PERRIER NICOLAS SEM ALE ECHIROLES  La Foulée Vénissiane - 10 km 18/11/2012
143 01h40'23'' PERRIER NICOLAS SEM    La Course nocturne Les Flambeaux - 18 km 10/11/2012
237 02h55'59'' PERRIER NICOLAS SEM    Trail des Sept Hameaux - 27 km 28/10/2012
